10.0.0.17	224.0.0.22	IGMP	40	10:01:23.794041
10.0.0.17	224.0.0.251	UDP	126	10:01:23.916961
10.0.0.17	224.0.0.251	UDP	114	10:01:24.090663
10.0.0.17	224.0.0.251	UDP	169	10:01:24.317722
10.0.0.17	224.0.0.251	UDP	188	10:01:24.440814
10.0.0.17	224.0.0.251	UDP	188	10:01:24.678742
10.0.0.17	224.0.0.251	UDP	78	10:01:24.735742
10.0.0.17	224.0.0.251	UDP	188	10:01:25.080399
10.0.0.17	224.0.0.251	UDP	98	10:01:25.097719
10.0.0.17	224.0.0.251	UDP	176	10:01:25.128321
10.0.0.17	224.0.0.251	UDP	176	10:01:26.238249
10.0.0.17	224.0.0.251	UDP	169	10:01:26.341990
10.0.0.17	224.0.0.251	UDP	114	10:01:27.199836
10.0.0.17	224.0.0.251	UDP	176	10:01:28.318108
10.0.0.17	224.0.0.251	UDP	169	10:01:30.304243
10.0.0.17	224.0.0.251	UDP	169	10:01:38.269833
10.0.0.17	224.0.0.251	UDP	169	10:01:54.298829
